No.,Name,Pos,Ht,Wt,Birth Date,,Exp,College,City,Team,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
17,Dennis Schroder,PG,6-1,172,"September 15, 1993",de,3,,Atlanta,Hawks,Dennis Schroder,23,76,75,2398,532,1183,0.45,96,285,0.337,436,898,0.486,0.49,215,252,0.853,42,196,238,480,73,15,253,141,1375
7,Ersan Ilyasova,PF,6-10,235,"May 15, 1987",tr,8,,Atlanta,Hawks,Ersan Ilyasova,29,53,40,27.3,5.4,12.2,0.44,2,5.6,0.359,3.4,6.6,0.509,0.522,2.1,2.7,0.768,1.3,4.6,5.9,1.8,0.6,0.3,1.5,2.5,14.8
10,Tim Hardaway,SG,6-6,205,"March 16, 1992",us,3,University of Michigan,Atlanta,Hawks,Tim Hardaway,24,75,26,2028,386,859,0.449,141,397,0.355,245,462,0.53,0.531,155,201,0.771,33,170,203,165,52,16,102,96,1068
25,Thabo Sefolosha,SF,6-7,220,"May 2, 1984",ch,10,,Atlanta,Hawks,Thabo Sefolosha,32,60,42,1556,172,386,0.446,41,117,0.35,131,269,0.487,0.499,55,75,0.733,51,212,263,106,94,31,55,97,440
31,Mike Muscala,C,6-11,240,"July 1, 1991",us,3,Bucknell University,Atlanta,Hawks,Mike Muscala,25,65,3,1132,151,306,0.493,41,100,0.41,110,206,0.534,0.56,47,62,0.758,72,148,220,81,28,37,52,90,390
34,Mike Dunleavy,SF,6-9,230,"September 15, 1980",us,14,Duke University,Atlanta,Hawks,Mike Dunleavy,36,25,0,399,45,103,0.437,26,62,0.419,19,41,0.463,0.563,13,16,0.813,11,50,61,25,7,2,13,28,129
4,Paul Millsap,PF,6-8,246,"February 10, 1985",us,10,Louisiana Tech University,Atlanta,Hawks,Paul Millsap,31,66,65,2255,412,936,0.44,73,234,0.312,339,702,0.483,0.479,291,382,0.762,106,400,506,246,87,62,147,177,1188
24,Kent Bazemore,SF,6-5,201,"July 1, 1989",us,4,Old Dominion University,Atlanta,Hawks,Kent Bazemore,27,70,64,1896,284,700,0.406,88,256,0.344,196,444,0.441,0.469,112,159,0.704,43,179,222,168,84,51,119,156,768
8,Dwight Howard,C,6-11,265,"December 8, 1985",us,12,,Atlanta,Hawks,Dwight Howard,31,71,71,2129,369,588,0.628,0,2,0,369,586,0.63,0.628,216,406,0.532,291,625,916,100,65,90,163,198,954
5,Malcolm Delaney,PG,6-3,190,"March 11, 1989",us,R,Virginia Polytechnic Institute and State University,Atlanta,Hawks,Malcolm Delaney,27,69,2,1174,137,366,0.374,23,101,0.228,114,265,0.43,0.406,66,84,0.786,11,106,117,176,37,1,90,107,363
12,Taurean Prince,SF,6-8,220,"March 22, 1994",us,R,Baylor University,Atlanta,Hawks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
95,DeAndre' Bembry,SF,6-6,210,"July 4, 1994",us,R,Saint Joseph's University,Atlanta,Hawks,DeAndre' Bembry,22,34,0,315,40,87,0.46,0,15,0,40,72,0.556,0.46,6,16,0.375,12,35,47,23,6,4,11,16,86
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us,12,University of Minnesota,Atlanta,Hawks,Kris Humphries,31,53,2,625,79,191,0.414,16,46,0.348,63,145,0.434,0.455,61,76,0.803,53,133,186,25,11,19,26,65,235
30,Ryan Kelly,PF,6-11,230,"April 9, 1991",us,3,Duke University,Atlanta,Hawks,Ryan Kelly,25,14,0,69,4,15,0.267,2,6,0.333,2,9,0.222,0.333,3,4,0.75,0,12,12,5,4,2,3,4,13
13,Jose Calderon,PG,6-3,200,"September 28, 1981",es,11,,Atlanta,Hawks,Jose Calderon,35,12,0,158,10,32,0.313,3,18,0.167,7,14,0.5,0.359,7,8,0.875,5,16,21,18,4,0,9,10,30
1,Chris Bosh,PF,6-11,235,"March 24, 1984",us,13,Georgia Institute of Technology,Miami,Heat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,Josh McRoberts,PF,6-10,240,"February 28, 1987",us,9,Duke University,Miami,Heat,Josh McRoberts,29,22,14,17.3,2,5.4,0.373,0.6,1.4,0.419,1.4,4,0.356,0.428,0.3,0.4,0.667,1,2.3,3.4,2.3,0.5,0.2,1,1.4,4.9
20,Justise Winslow,SF,6-7,225,"March 26, 1996",us,1,Duke University,Miami,Heat,Justise Winslow,20,18,15,34.7,4.4,12.5,0.356,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,2.6,0.617,1.3,3.9,5.2,3.7,1.5,0.3,1.8,2.9,10.9
7,Goran Dragic,PG,6-3,190,"May 6, 1986",si,8,,Miami,Heat,Goran Dragic,30,68,68,33.5,7.3,15.2,0.476,1.6,4,0.406,5.6,11.3,0.501,0.529,4,5.1,0.79,0.8,3,3.9,5.9,1.2,0.2,2.9,2.8,20.2
5,Luke Babbitt,SF,6-9,225,"June 20, 1989",us,6,"University of Nevada, Reno",Miami,Heat,Luke Babbitt,27,68,55,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8
0,Josh Richardson,SG,6-6,200,"September 15, 1993",us,1,University of Tennessee,Miami,Heat,Josh Richardson,23,48,29,29.6,3.7,9.5,0.387,1.3,4.2,0.308,2.4,5.3,0.449,0.455,1.1,1.4,0.754,0.6,2.5,3.2,2.5,1,0.7,1.2,2.5,9.7
8,Tyler Johnson,PG,6-4,186,"May 7, 1992",us,2,"California State University, Fresno",Miami,Heat,Tyler Johnson,24,68,0,29.9,5,11.4,0.434,1.2,3.4,0.361,3.7,8,0.465,0.488,2.6,3.4,0.766,0.7,3.3,4,3.2,1.2,0.6,1.2,2.4,13.7
21,Hassan Whiteside,C,7-0,265,"June 13, 1989",us,4,Marshall University,Miami,Heat,Hassan Whiteside,27,72,72,32.7,7,12.5,0.559,0,0,,7,12.5,0.559,0.559,2.8,4.5,0.624,3.8,10.3,14,0.7,0.7,2.1,2,2.9,16.8
2,Wayne Ellington,SG,6-4,200,"October 29, 1987",us,7,University of North Carolina,Miami,Heat,Wayne Ellington,29,57,13,24.4,3.8,9.2,0.414,2.4,6.4,0.371,1.4,2.8,0.513,0.543,0.6,0.7,0.854,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.6
40,Udonis Haslem,C,6-8,235,"June 9, 1980",us,13,University of Florida,Miami,Heat,Udonis Haslem,36,16,0,8.1,0.7,1.4,0.5,0,0.1,0,0.7,1.3,0.55,0.5,0.6,0.9,0.6,0.5,1.7,2.2,0.4,0.3,0.1,0.5,1.3,1
16,James Johnson,PF,6-9,250,"February 20, 1987",us,7,Wake Forest University,Miami,Heat,James Johnson,29,71,0,26.8,4.7,9.8,0.476,1.1,3.2,0.343,3.6,6.6,0.541,0.532,2,2.8,0.705,0.9,3.9,4.8,3.5,1,1.2,2.2,2.6,12.5
35,Willie Reed,C,6-10,220,"May 16, 1990",us,1,Saint Louis University,Miami,Heat,Willie Reed,26,66,5,14.6,2.3,4.1,0.563,0,0.1,0.25,2.3,4,0.568,0.565,0.7,1.2,0.568,1.8,2.9,4.7,0.4,0.3,0.7,0.4,1.9,5.3
17,Rodney McGruder,SG,6-4,205,"July 29, 1991",us,R,Kansas State University,Miami,Heat,Rodney McGruder,25,73,60,25.3,2.5,5.9,0.42,1,2.8,0.337,1.5,3.1,0.498,0.501,0.6,0.9,0.632,1.2,2.1,3.3,1.6,0.6,0.2,0.6,1.8,6.5
11,Dion Waiters,SG,6-4,225,"December 10, 1991",us,4,Syracuse University,Miami,Heat,Dion Waiters,25,46,43,30.1,6.1,14.4,0.423,1.8,4.7,0.394,4.3,9.7,0.438,0.487,1.8,2.8,0.646,0.4,3,3.3,4.3,0.9,0.4,2.2,2.1,15.8
15,Okaro White,PF,6-8,204,"August 13, 1992",us,R,Florida State University,Miami,Heat,Okaro White,24,30,0,13.4,1,2.4,0.411,0.4,0.9,0.407,0.6,1.5,0.413,0.486,0.7,0.7,0.909,0.9,1.8,2.7,0.6,0.3,0.3,0.6,1.6,3
14,Michael Kidd-Gilchrist,SF,6-7,232,"September 26, 1993",us,4,University of Kentucky,Charlotte,Hornets,Michael Kidd-Gilchrist,23,76,76,29.2,3.6,7.6,0.478,0,0.1,0.111,3.6,7.5,0.483,0.478,1.9,2.4,0.779,1.9,5.2,7.1,1.4,1,0.9,0.7,2.3,9.2
15,Kemba Walker,PG,6-1,172,"May 8, 1990",us,5,University of Connecticut,Charlotte,Hornets,Kemba Walker,26,76,76,34.6,8.1,18.3,0.444,3,7.5,0.402,5.1,10.8,0.474,0.527,3.8,4.5,0.848,0.6,3.4,4,5.5,1.1,0.3,2.2,1.5,23.1
40,Cody Zeller,PF,7-0,240,"October 5, 1992",us,3,Indiana University,Charlotte,Hornets,Cody Zeller,24,57,53,27.8,4.2,7.2,0.578,0,0,0,4.2,7.2,0.579,0.578,2.1,3.2,0.659,2.2,4.2,6.5,1.6,1,1,1.1,3.1,10.5
3,Jeremy Lamb,SG,6-5,185,"May 30, 1992",us,4,University of Connecticut,Charlotte,Hornets,Jeremy Lamb,24,57,5,18.1,3.5,7.8,0.457,0.7,2.3,0.293,2.9,5.4,0.528,0.501,1.7,2,0.841,0.4,3.8,4.2,1.2,0.4,0.4,0.6,1.6,9.4
44,Frank Kaminsky,C,7-0,242,"April 4, 1993",us,1,University of Wisconsin,Charlotte,Hornets,Frank Kaminsky,23,70,16,26.2,4.3,10.8,0.404,1.6,4.8,0.335,2.7,6,0.458,0.478,1.6,2.1,0.762,0.8,3.8,4.6,2.1,0.7,0.5,1,1.9,11.9
21,Marco Belinelli,SG,6-5,210,"March 25, 1986",it,9,,Charlotte,Hornets,Marco Belinelli,30,72,0,24.2,3.6,8.4,0.428,1.4,3.8,0.362,2.2,4.5,0.483,0.511,2.1,2.3,0.892,0.2,2.2,2.4,2,0.6,0.1,0.9,1.2,10.6
5,Nicolas Batum,SG,6-8,200,"December 14, 1988",fr,8,,Charlotte,Hornets,Nicolas Batum,28,72,72,34.3,5.1,12.7,0.4,1.8,5.3,0.336,3.3,7.3,0.446,0.47,3.1,3.7,0.859,0.6,5.8,6.4,5.9,1.1,0.4,2.6,1.5,15.1
7,Ramon Sessions,PG,6-3,190,"April 11, 1986",us,9,"University of Nevada, Reno",Charlotte,Hornets,Ramon Sessions,30,50,1,16.2,2,5.3,0.38,0.4,1.2,0.339,1.6,4,0.393,0.42,1.8,2.4,0.771,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2
2,Marvin Williams,PF,6-9,237,"June 19, 1986",us,11,University of North Carolina,Charlotte,Hornets,Marvin Williams,30,71,71,30.5,4,9.4,0.428,1.7,4.7,0.352,2.4,4.7,0.503,0.516,1.8,2,0.868,1.2,5.4,6.6,1.5,0.8,0.7,0.7,1.8,11.5
22,Brian Roberts,PG,6-1,173,"December 3, 1985",us,4,University of Dayton,Charlotte,Hornets,Brian Roberts,31,36,0,9,1,2.6,0.38,0.4,1,0.417,0.6,1.6,0.357,0.462,0.8,1,0.833,0.1,0.8,0.9,1.4,0.2,0,0.5,0.5,3.2
35,Christian Wood,PF,6-11,220,"September 27, 1995",us,1,"University of Nevada, Las Vegas",Charlotte,Hornets,Christian Wood,21,12,0,7.8,0.8,1.7,0.5,0,0.4,0,0.8,1.3,0.667,0.5,0.9,1.1,0.846,1.1,1.1,2.2,0.2,0.3,0.5,0.5,0.8,2.6
12,Treveon Graham,SG,6-6,220,"October 29, 1993",us,R,Virginia Commonwealth University,Charlotte,Hornets,Treveon Graham,23,24,1,5.9,0.4,1,0.375,0.3,0.4,0.6,0.1,0.6,0.214,0.5,0.3,0.5,0.667,0.1,0.5,0.7,0.2,0.1,0,0.1,0.7,1.3
18,Miles Plumlee,C,6-11,249,"September 1, 1988",us,4,Duke University,Charlotte,Hornets,Miles Plumlee,28,8,0,12.5,1.4,1.9,0.733,0,0,,1.4,1.9,0.733,0.733,0.4,0.5,0.75,0.9,2.3,3.1,0.3,0.6,0.4,0.5,1.5,3.1
8,Johnny O'Bryant,PF,6-9,257,"June 1, 1993",us,2,Louisiana State University,Charlotte,Hornets,Johnny O'Bryant,23,4,0,8.5,2,3.8,0.533,0.3,0.8,0.333,1.8,3,0.583,0.567,0.3,0.5,0.5,1,1,2,1,0,0,0.8,1.5,4.5
0,Briante Weber,PG,6-2,165,"December 29, 1992",us,1,Virginia Commonwealth University,Charlotte,Hornets,Briante Weber,24,11,0,10.4,1.5,3,0.485,0,0.3,0,1.5,2.7,0.533,0.485,0.5,0.6,0.714,0.6,1,1.6,1.1,0.6,0,0.2,0.7,3.4
20,Jodie Meeks,SG,6-4,210,"August 21, 1987",us,7,University of Kentucky,Orlando,Magic,Jodie Meeks,29,31,9,20.6,2.9,7,0.408,1.5,3.6,0.407,1.4,3.4,0.41,0.514,1.7,1.9,0.881,0.1,2,2.1,1.3,1,0.1,0.9,1.1,8.9
31,Terrence Ross,SF,6-7,206,"February 5, 1991",us,4,University of Washington,Orlando,Magic,Terrence Ross,25,54,0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.9,0.82,0.3,2.3,2.6,0.8,1,0.4,0.6,1.5,10.4
23,C.J. Wilcox,SG,6-5,195,"December 30, 1990",us,2,University of Washington,Orlando,Magic,C.J. Wilcox,26,22,0,4.9,0.4,1.4,0.258,0.1,0.7,0.2,0.2,0.7,0.313,0.306,0.1,0.1,1,0.2,0.4,0.5,0.5,0.1,0,0.3,0.4,1
0,Aaron Gordon,SF,6-9,220,"September 16, 1995",us,2,University of Arizona,Orlando,Magic,Aaron Gordon,21,75,67,28.4,4.8,10.6,0.448,0.9,3.3,0.284,3.8,7.3,0.523,0.492,1.9,2.7,0.703,1.4,3.5,4.9,1.9,0.8,0.5,1.1,2.1,12.4
4,Elfrid Payton,PG,6-4,185,"February 22, 1994",us,2,University of Louisiana at Lafayette,Orlando,Magic,Elfrid Payton,22,77,53,29.5,5.2,11,0.468,0.5,1.8,0.268,4.7,9.2,0.507,0.49,1.8,2.6,0.688,1.1,3.6,4.7,6.3,1.1,0.5,2.1,2.2,12.6
8,Mario Hezonja,SF,6-8,215,"February 25, 1995",hr,1,,Orlando,Magic,Mario Hezonja,21,60,2,14.1,1.7,4.9,0.347,0.6,2.1,0.281,1.1,2.8,0.398,0.408,0.5,0.6,0.763,0.3,1.9,2.2,1,0.4,0.2,0.9,1.1,4.5
32,C.J. Watson,PG,6-2,175,"April 17, 1984",us,9,University of Tennessee,Orlando,Magic,C.J. Watson,32,60,9,16.2,1.6,4,0.392,0.5,1.7,0.307,1,2.3,0.456,0.458,0.9,1,0.871,0.2,1.2,1.4,1.8,0.7,0,0.8,1.3,4.5
9,Nikola Vucevic,C,7-0,260,"October 24, 1990",ch,5,University of Southern California,Orlando,Magic,Nikola Vucevic,26,70,50,28.9,6.5,13.8,0.47,0.3,1,0.286,6.2,12.8,0.485,0.481,1.5,2.3,0.671,2.4,8,10.4,2.8,1,1,1.6,2.4,14.7
11,Bismack Biyombo,C,6-9,255,"August 28, 1992",cd,5,,Orlando,Magic,Bismack Biyombo,24,76,27,22.7,2.3,4.3,0.525,0,0,,2.3,4.3,0.525,0.525,1.5,2.9,0.525,2,5.1,7.1,0.9,0.3,1.1,1.2,2.5,6
34,Jeff Green,SF,6-9,235,"August 28, 1986",us,8,Georgetown University,Orlando,Magic,Jeff Green,30,69,11,22.2,3.2,8.1,0.394,0.8,2.8,0.275,2.4,5.3,0.458,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2
14,D.J. Augustin,PG,6-0,183,"November 10, 1987",us,8,University of Texas at Austin,Orlando,Magic,D.J. Augustin,29,75,20,19.8,2.6,6.7,0.385,1.3,3.5,0.356,1.3,3.1,0.417,0.479,1.7,2.1,0.815,0.2,1.3,1.5,2.7,0.4,0,1.1,1.3,8.1
10,Evan Fournier,SG,6-7,205,"October 29, 1992",fr,4,,Orlando,Magic,Evan Fournier,24,64,62,33,6,13.8,0.438,1.8,5.3,0.346,4.2,8.5,0.495,0.504,3.2,4,0.798,0.7,2.5,3.2,3,1,0,2.1,2.7,17.1
33,Stephen Zimmerman,C,7-0,240,"September 9, 1996",us,R,"University of Nevada, Las Vegas",Orlando,Magic,Stephen Zimmerman,20,17,0,5.3,0.5,1.5,0.36,0,0,,0.5,1.5,0.36,0.36,0.2,0.3,0.6,0.5,1.2,1.8,0.2,0.1,0.2,0.1,0.7,1.2
3,Damjan Rudez,SF,6-10,228,"June 17, 1986",hr,2,,Orlando,Magic,Damjan Rudez,30,42,0,7.2,0.7,2,0.349,0.5,1.5,0.317,0.2,0.5,0.45,0.47,0,0,,0.1,0.5,0.6,0.5,0.3,0,0.2,0.7,1.9
2,Kyrie Irving,PG,6-3,193,"March 23, 1992",au,5,Duke University,Cleveland,Cavaliers,Kyrie Irving,24,68,68,35.1,9.3,19.8,0.469,2.4,6.1,0.396,6.8,13.6,0.502,0.53,4.2,4.6,0.908,0.8,2.5,3.3,5.7,1.2,0.4,2.6,2.2,25.1
8,Channing Frye,C,6-11,255,"May 17, 1983",us,10,University of Arizona,Cleveland,Cavaliers,Channing Frye,33,68,10,18.8,3.2,7,0.451,1.9,4.5,0.411,1.3,2.5,0.524,0.584,0.8,0.9,0.828,0.5,3.3,3.8,0.6,0.4,0.5,0.7,1.9,9
26,Kyle Korver,SG,6-7,212,"March 17, 1981",us,13,Creighton University,Cleveland,Cavaliers,Kyle Korver,35,32,21,894,108,245,0.441,65,159,0.409,43,86,0.5,0.573,24,27,0.889,1,89,90,75,22,13,40,47,305
0,Kevin Love,PF,6-10,251,"September 7, 1988",us,8,"University of California, Los Angeles",Cleveland,Cavaliers,Kevin Love,28,55,55,31.1,6.1,14.3,0.431,2.4,6.4,0.379,3.7,7.8,0.473,0.516,4.3,5,0.872,2.4,8.5,10.9,1.9,0.9,0.4,2.1,1.9,19.1
4,Iman Shumpert,SG,6-5,220,"June 26, 1990",us,5,Georgia Institute of Technology,Cleveland,Cavaliers,Iman Shumpert,26,70,29,25.7,2.7,6.6,0.409,1.3,3.6,0.367,1.4,3,0.459,0.509,0.9,1.1,0.788,0.5,2.4,2.9,1.5,0.8,0.4,0.9,2,7.6
13,Tristan Thompson,C,6-9,238,"March 13, 1991",ca,5,University of Texas at Austin,Cleveland,Cavaliers,Tristan Thompson,25,76,76,30.1,3.4,5.6,0.598,0,0,0,3.4,5.6,0.602,0.598,1.4,2.8,0.502,3.7,5.6,9.4,1,0.5,1.1,0.8,2.3,8.1
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us,15,University of Arizona,Cleveland,Cavaliers,Richard Jefferson,36,73,13,20.7,2,4.5,0.448,0.8,2.4,0.335,1.2,2.1,0.58,0.538,1,1.4,0.747,0.4,2.2,2.6,1,0.3,0.1,0.7,2,5.8
14,DeAndre Liggins,SG,6-6,209,"March 31, 1988",us,3,University of Kentucky,Cleveland,Cavaliers,DeAndre Liggins,28,58,19,12.8,0.9,2.3,0.383,0.3,0.8,0.378,0.6,1.5,0.386,0.447,0.4,0.6,0.622,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.4
1,James Jones,SF,6-8,218,"October 4, 1980",us,13,University of Miami,Cleveland,Cavaliers,James Jones,36,45,2,7.5,0.9,1.7,0.533,0.7,1.2,0.556,0.2,0.5,0.476,0.733,0.2,0.4,0.647,0,0.6,0.7,0.3,0.2,0.2,0.2,0.8,2.7
20,Kay Felder,PG,5-9,176,"March 29, 1995",us,R,Oakland University,Cleveland,Cavaliers,Kay Felder,21,41,0,9.2,1.5,3.8,0.387,0.2,0.5,0.318,1.3,3.2,0.398,0.41,0.9,1.2,0.714,0.1,0.9,1,1.3,0.4,0.2,0.7,0.9,4
23,LeBron James,SF,6-8,250,"December 30, 1984",us,13,,Cleveland,Cavaliers,LeBron James,32,70,70,37.6,9.9,18.2,0.544,1.7,4.7,0.367,8.2,13.5,0.606,0.592,4.8,7.2,0.669,1.3,7.2,8.5,8.7,1.2,0.6,4.1,1.8,26.3
5,J.R. Smith,SG,6-6,225,"September 9, 1985",us,12,,Cleveland,Cavaliers,J.R. Smith,31,35,29,28.4,3,8.6,0.346,2.3,6.5,0.358,0.6,2.1,0.306,0.482,0.3,0.4,0.667,0.4,2.2,2.6,1.3,1,0.3,0.6,1.9,8.6
31,Deron Williams,PG,6-3,200,"June 26, 1984",us,11,University of Illinois at Urbana-Champaign,Cleveland,Cavaliers,Deron Williams,32,18,2,19.7,2.6,5.3,0.484,0.7,1.8,0.394,1.8,3.4,0.532,0.553,0.8,0.9,0.875,0.1,1.5,1.6,3.6,0.2,0.2,1.2,1.7,6.6
3-32,Derrick Williams,PF,6-8,240,"May 25, 1991",us,5,University of Arizona,Cleveland,Cavaliers,Derrick Williams,25,25,11,15.1,2.2,5.5,0.394,0.4,1.8,0.2,1.8,3.7,0.489,0.427,1.2,2,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9
9,Larry Sanders,C,6-11,235,"November 21, 1988",us,5,Virginia Commonwealth University,Cleveland,Cavaliers,Larry Sanders,28,2,0,2,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,1,0
21,Tony Snell,SG,6-7,200,"November 10, 1991",us,3,University of New Mexico,Milwaukee,Bucks,Tony Snell,25,76,76,29.3,3.1,6.8,0.455,1.8,4.5,0.402,1.3,2.3,0.561,0.589,0.6,0.8,0.81,0.3,2.9,3.2,1.2,0.6,0.2,0.7,1.6,8.6
31,John Henson,C,6-11,229,"December 28, 1990",us,4,University of North Carolina,Milwaukee,Bucks,John Henson,26,56,38,19.6,2.8,5.4,0.51,0,0,0,2.8,5.4,0.512,0.51,1.3,1.9,0.692,1.6,3.6,5.2,1,0.5,1.4,0.9,2.6,6.8
34,Giannis Antetokounmpo,SF,6-11,222,"December 6, 1994",gr,3,,Milwaukee,Bucks,Giannis Antetokounmpo,22,76,76,35.6,8.3,15.9,0.525,0.6,2.3,0.28,7.7,13.6,0.567,0.546,5.9,7.6,0.774,1.8,6.9,8.7,5.4,1.7,1.9,2.9,3.1,23.2
0,Spencer Hawes,PF,7-1,245,"April 28, 1988",us,9,University of Washington,Milwaukee,Bucks,Spencer Hawes,28,35,1,17.9,3,6.2,0.477,0.5,1.6,0.291,2.5,4.7,0.54,0.514,0.9,1,0.882,0.9,3.3,4.2,1.8,0.4,0.7,1.1,1.7,7.3
12,Jabari Parker,PF,6-8,250,"March 15, 1995",us,2,Duke University,Milwaukee,Bucks,Jabari Parker,21,51,50,33.9,7.8,16,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.1,2.8,1,0.4,1.8,2.2,20.1
20,Rashad Vaughn,SG,6-6,202,"August 16, 1996",us,1,"University of Nevada, Las Vegas",Milwaukee,Bucks,Rashad Vaughn,20,37,1,10.6,1.3,3.5,0.362,0.6,2,0.329,0.6,1.5,0.404,0.454,0,0.1,0.5,0.1,1.2,1.2,0.5,0.4,0.2,0.2,0.8,3.2
22,Khris Middleton,SG,6-8,234,"August 12, 1991",us,4,Texas A&M University,Milwaukee,Bucks,Khris Middleton,25,25,19,30.5,5.4,11.7,0.459,1.6,3.7,0.419,3.8,8,0.477,0.526,3.1,3.5,0.875,0.4,3.8,4.2,3.4,1.4,0.3,2.2,2.8,15.4
15,Greg Monroe,C,6-11,265,"June 4, 1990",us,6,Georgetown University,Milwaukee,Bucks,Greg Monroe,26,76,0,22.7,4.8,9,0.532,0,0,0,4.8,8.9,0.534,0.532,2.2,3,0.746,2.1,4.6,6.6,2.3,1.1,0.5,1.7,2.1,11.8
9,Michael Beasley,PF,6-9,235,"January 9, 1989",us,8,Kansas State University,Milwaukee,Bucks,Michael Beasley,28,52,5,16.7,3.9,7.1,0.544,0.3,0.7,0.421,3.6,6.4,0.559,0.566,1.4,1.9,0.73,0.7,2.8,3.5,1,0.5,0.5,1.2,1.7,9.5
35,Mirza Teletovic,PF,6-9,242,"September 18, 1985",ba,4,,Milwaukee,Bucks,Mirza Teletovic,31,65,2,15.7,2.2,5.9,0.38,1.5,4.3,0.343,0.8,1.6,0.48,0.505,0.5,0.7,0.767,0.2,2.1,2.3,0.7,0.2,0.2,0.5,1.5,6.4
8,Matthew Dellavedova,PG,6-4,198,"September 8, 1990",au,3,Saint Mary's College of California,Milwaukee,Bucks,Matthew Dellavedova,26,72,51,26.3,2.7,7,0.391,1,2.8,0.366,1.7,4.2,0.407,0.464,1.1,1.3,0.851,0.3,1.6,1.9,4.8,0.7,0,1.8,2,7.6
7,Thon Maker,PF,7-1,216,"February 25, 1997",ss,R,,Milwaukee,Bucks,Thon Maker,19,52,29,9,1.4,3,0.471,0.5,1.3,0.406,0.9,1.7,0.523,0.561,0.5,0.8,0.625,0.6,1.1,1.6,0.3,0.2,0.4,0.2,1.4,3.9
13,Malcolm Brogdon,SG,6-5,215,"December 11, 1992",us,R,University of Virginia,Milwaukee,Bucks,Malcolm Brogdon,24,73,26,26.5,3.9,8.5,0.457,1,2.6,0.404,2.8,5.9,0.48,0.519,1.5,1.7,0.865,0.6,2.2,2.8,4.3,1.1,0.2,1.5,1.9,10.3
3,Jason Terry,SG,6-2,185,"September 15, 1977",us,17,University of Arizona,Milwaukee,Bucks,Jason Terry,39,69,0,18.6,1.4,3.3,0.42,1,2.3,0.41,0.4,0.9,0.446,0.566,0.3,0.4,0.828,0.2,1.2,1.4,1.3,0.6,0.3,0.5,1.3,4.1
6,Terrence Jones,PF,6-9,252,"January 9, 1992",us,4,University of Kentucky,Milwaukee,Bucks,Terrence Jones,25,3,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0.3,0.3,0,0,0
44,Nikola Mirotic,PF,6-10,220,"February 11, 1991",me,2,,Chicago,Bulls,Nikola Mirotic,25,65,10,23.7,3.6,8.7,0.412,1.8,5.3,0.339,1.8,3.4,0.525,0.515,1.4,1.8,0.769,0.8,4.5,5.3,1.1,0.7,0.8,1.1,1.8,10.3
7,Michael Carter-Williams,PG,6-6,190,"October 10, 1991",us,3,Syracuse University,Chicago,Bulls,Michael Carter-Williams,25,40,19,19.5,2.7,7,0.381,0.4,1.5,0.233,2.3,5.5,0.421,0.406,1.4,1.9,0.747,0.6,3.1,3.7,2.6,0.8,0.5,1.6,2.4,7.1
11,Anthony Morrow,SG,6-5,210,"September 27, 1985",us,8,Georgia Institute of Technology,Chicago,Bulls,Anthony Morrow,31,4,0,7.5,1.3,2.3,0.556,0.8,1,0.75,0.5,1.3,0.4,0.722,0.8,0.8,1,0,0,0,0,0,0,0,0.3,4
77,Joffrey Lauvergne,C,6-11,220,"September 30, 1991",fr,2,,Chicago,Bulls,Joffrey Lauvergne,25,15,1,13.1,1.8,4.8,0.375,0.4,1.1,0.353,1.4,3.7,0.382,0.417,0.5,0.9,0.538,1.1,2.3,3.4,0.9,0.3,0,0.7,0.6,4.5
